feature,alpha,math_margin_mean,code_valid_rate,latex_valid_rate,delta_vs_a0
code_feature,-3.0,40.01923076923077,0.20512820512820512,0.9487179487179487,-0.1153846153846203
code_feature,-2.0,40.07051282051282,0.20512820512820512,0.9487179487179487,-0.0641025641025692
code_feature,-1.0,40.07692307692308,0.1794871794871795,0.9487179487179487,-0.0576923076923066
code_feature,0.0,40.13461538461539,0.1794871794871795,0.9487179487179487,0.0
code_feature,1.0,40.17948717948718,0.1794871794871795,0.9487179487179487,0.0448717948717956
code_feature,2.0,40.15384615384615,0.15384615384615385,0.9487179487179487,0.019230769230766498
code_feature,3.0,40.17948717948718,0.15384615384615385,0.9487179487179487,0.0448717948717956
code_feature,4.0,40.1474358974359,0.15384615384615385,0.9230769230769231,0.012820512820510999
random_control,-3.0,39.39102564102564,0.15384615384615385,0.9487179487179487,-0.7435897435897445
random_control,-2.0,39.67948717948718,0.1794871794871795,0.9487179487179487,-0.4551282051282044
random_control,-1.0,39.94230769230769,0.1794871794871795,0.9487179487179487,-0.1923076923076934
random_control,0.0,40.13461538461539,0.1794871794871795,0.9487179487179487,0.0
random_control,1.0,40.416666666666664,0.1794871794871795,0.9487179487179487,0.2820512820512775
random_control,2.0,40.51923076923077,0.20512820512820512,0.9487179487179487,0.3846153846153797
random_control,3.0,40.68589743589744,0.23076923076923078,0.9487179487179487,0.5512820512820511
random_control,4.0,40.84615384615385,0.23076923076923078,0.9487179487179487,0.7115384615384599
